# git_commit=5c7a646-dirty; timestamp=2026-06-05T21:37:58; bin_width_ns=20; bin_offset_ns=0; baseline_mode=RECIRC; host=debian
timestamp,dut_count,base_count,dut_min,dut_max,dut_avg,jitter,base_min,base_max,base_avg,base_std,base_total_hist,corrected_avg,corrected_min,corrected_max
570.797,3519831156,1347840590,2909,202031,0.3833218873865778,199122,639,699,650.0185338328455,0.608560739692737,1351772200,1050.737916587796,2258.9814661671544,201380.98146616714
576.045,3551995090,1360156586,2909,202031,0.39892285267770455,199122,639,699,650.0185321719935,0.6085334021936663,1364011731,1050.8163263384952,2258.9814678280063,201380.981467828
580.590,3579874793,1370834618,2909,202031,1.291362709678992,199122,639,699,650.0185298603345,0.608495401882277,1374662277,1050.84298495241,2258.9814701396654,201380.98147013967
585.127,3607609398,1381447176,2909,202031,1.6957654990009536,199122,639,699,650.0185333823032,0.6085530907202285,1385344541,1051.44931491329,2258.9814666176967,201380.9814666177
589.667,3635459998,1392112418,2909,202031,0.6998278601331485,199122,639,699,650.018532149122,0.6085327840969558,1396002149,1050.5515134684565,2258.981467850878,201380.98146785088
594.219,3663313951,1402775920,2909,202031,1.0031976524962603,199122,639,699,650.0185335582345,0.6085562854554923,1406657031,1049.4928084331077,2258.9814664417654,201380.98146644176
598.731,3690958779,1413354719,2909,202031,0.7984910053095989,199122,639,699,650.0185324835898,0.6085385798213128,1417097707,1049.875197956277,2258.9814675164102,201380.98146751642
603.208,3718365745,1423850897,2909,202031,2.2083634142342823,199122,639,699,650.0185342241164,0.6085670495140959,1427586061,1048.631279342743,2258.9814657758834,201380.9814657759
607.687,3745817842,1434357984,2909,202031,1.62807509554278,199122,639,699,650.0185350666151,0.608580788669841,1438316924,1048.6312785002442,2258.981464933385,201380.98146493337
612.265,3773870464,1445097694,2909,202031,0.6668529439488466,199122,639,699,650.0185352909857,0.6085843912439873,1448982917,1049.4952945324417,2258.9814647090143,201380.981464709
616.869,3802084991,1455897546,2909,202031,0.9283757163123343,199122,639,699,650.0185381336164,0.6086309311017964,1460275374,1049.495291689811,2258.9814618663836,201380.98146186638
